code,location,name
ALC,Alicante,Aeropuerto de Alicante-Elche
LEI,Almería,Aeropuerto de Almería
BJZ,Badajoz,Aeropuerto de Badajoz
BCN,El Prat de Llobregat (Barcelona),Aeropuerto de Barcelona-El Prat
BIO,Sondica (Bilbao),Aeropuerto de Bilbao
RGS,Burgos,Aeropuerto de Burgos
CDT,Villanueva de Alcolea (Castellón),Aeropuerto de Castellón-Costa Azahar
ODB,Córdoba,Aeropuerto de Córdoba
EAS,Fuenterrabía (Guipúzcoa),Aeropuerto de San Sebastián
GRO,Viloví de Oñar (Gerona),Aeropuerto de Girona-Costa Brava
GRX,Granada,Aeropuerto Federico García Lorca Granada
IBZ,Ibiza,Aeropuerto de Ibiza
XRZ,Jerez de la Frontera,Aeropuerto de Jerez
ACE,San Bartolomé (Las Palmas),Aeropuerto de Lanzarote
LPA,Telde (Las Palmas),Aeropuerto de Gran Canaria
LEN,Valverde de la Virgen (León),Aeropuerto de León
MAD,Madrid,Aeropuerto Adolfo Suárez Madrid-Barajas
TOJ,Torrejón de Ardoz (Madrid),Base Aérea de Torrejón de Ardoz
AGP,Málaga,Aeropuerto de Málaga-Costa del Sol
MAH,Mahón (Menorca),Aeropuerto de Menorca
MJV,San Javier (Murcia),Aeropuerto de Murcia-San Javier
OVD,Castrillón (Asturias),Aeropuerto de Asturias
PNA,Noáin (Navarra),Aeropuerto de Pamplona
REU,Reus (Tarragona),Aeropuerto de Reus
SLM,Machacón (Salamanca),Aeropuerto de Salamanca
SDR,Camargo (Cantabria),Aeropuerto Seve Ballesteros-Santander
SVQ,Sevilla,Aeropuerto de Sevilla-San Pablo
TFN,San Cristóbal de La Laguna (Santa Cruz de Tenerife),Aeropuerto de Tenerife Norte
TFS,Granadilla de Abona (Santa Cruz de Tenerife),Aeropuerto Internacional Reina Sofía
VLC,Manises (Valencia),Aeropuerto de Manises
VLL,Villanubla (Valladolid),Aeropuerto de Villanubla
VDE,Valverde (El Hierro),Aeropuerto de los Cangrejos
VGO,Vigo,Aeropuerto de Vigo-Peinador
VIT,Vitoria,Aeropuerto de Vitoria
ZAZ,Zaragoza,Aeropuerto de Zaragoza
